ID: 123, Time: 2024-05-24 08:56:00, Type: long, Price: 527.98, Units: 1, Previous Balance: 99996.60000000003, New Balance: 99996.77000000003, Result: win
ID: 125, Time: 2024-05-24 09:00:00, Type: long, Price: 527.59, Units: 1, Previous Balance: 99996.77000000003, New Balance: 99469.18000000004, Result: trade executed
ID: 127, Time: 2024-05-24 09:56:00, Type: long, Price: 528.24, Units: 1, Previous Balance: 99996.77000000003, New Balance: 99997.42000000004, Result: win
ID: 129, Time: 2024-05-24 10:00:00, Type: long, Price: 528.26, Units: 1, Previous Balance: 99997.42000000004, New Balance: 99469.16000000005, Result: trade executed
ID: 131, Time: 2024-05-24 10:56:00, Type: long, Price: 529.52, Units: 1, Previous Balance: 99997.42000000004, New Balance: 99998.68000000005, Result: win
ID: 133, Time: 2024-05-24 11:00:00, Type: long, Price: 529.29, Units: 1, Previous Balance: 99998.68000000005, New Balance: 99469.39000000006, Result: trade executed
ID: 135, Time: 2024-05-24 11:56:00, Type: long, Price: 529.45, Units: 1, Previous Balance: 99998.68000000005, New Balance: 99998.84000000005, Result: win
ID: 137, Time: 2024-05-24 12:00:00, Type: long, Price: 529.45, Units: 1, Previous Balance: 99998.84000000005, New Balance: 99469.39000000006, Result: trade executed
ID: 139, Time: 2024-05-24 12:56:00, Type: long, Price: 529.44, Units: 1, Previous Balance: 99998.84000000005, New Balance: 99998.83000000006, Result: loss
ID: 141, Time: 2024-05-24 13:00:00, Type: long, Price: 529.34, Units: 1, Previous Balance: 99998.83000000006, New Balance: 99469.49000000006, Result: trade executed
ID: 143, Time: 2024-05-24 13:56:00, Type: long, Price: 529.24, Units: 1, Previous Balance: 99998.83000000006, New Balance: 99998.73000000007, Result: loss
ID: 145, Time: 2024-05-24 14:00:00, Type: long, Price: 529.5, Units: 1, Previous Balance: 99998.73000000007, New Balance: 99469.23000000007, Result: trade executed
ID: 147, Time: 2024-05-24 14:56:00, Type: long, Price: 529.15, Units: 1, Previous Balance: 99998.73000000007, New Balance: 99998.38000000006, Result: loss
ID: 149, Time: 2024-05-24 15:00:00, Type: long, Price: 529.29, Units: 1, Previous Balance: 99998.38000000006, New Balance: 99469.09000000007, Result: trade executed
ID: 151, Time: 2024-05-24 15:56:00, Type: long, Price: 529.53, Units: 1, Previous Balance: 99998.38000000006, New Balance: 99998.62000000007, Result: win
ID: 153, Time: 2024-05-24 16:00:00, Type: long, Price: 529.51, Units: 1, Previous Balance: 99998.62000000007, New Balance: 99469.11000000007, Result: trade executed
ID: 155, Time: 2024-05-24 16:56:00, Type: long, Price: 529.55, Units: 1, Previous Balance: 99998.62000000007, New Balance: 99998.66000000008, Result: win
ID: 157, Time: 2024-05-24 17:00:00, Type: long, Price: 529.55, Units: 1, Previous Balance: 99998.66000000008, New Balance: 99469.11000000007, Result: trade executed
ID: 159, Time: 2024-05-27 18:58:00, Type: long, Price: 529.38, Units: 1, Previous Balance: 99998.66000000008, New Balance: 99998.49000000008, Result: loss
ID: 161, Time: 2024-05-27 23:40:00, Type: long, Price: 529.46, Units: 1, Previous Balance: 99998.49000000008, New Balance: 99469.03000000007, Result: trade executed
ID: 163, Time: 2024-05-28 03:56:00, Type: long, Price: 531.08, Units: 1, Previous Balance: 99998.49000000008, New Balance: 100000.11000000007, Result: win
ID: 165, Time: 2024-05-28 04:00:00, Type: long, Price: 531.14, Units: 1, Previous Balance: 100000.11000000007, New Balance: 99468.97000000007, Result: trade executed
ID: 167, Time: 2024-05-28 04:56:00, Type: long, Price: 531.0, Units: 1, Previous Balance: 100000.11000000007, New Balance: 99999.97000000007, Result: loss
ID: 169, Time: 2024-05-28 05:00:00, Type: long, Price: 531.05, Units: 1, Previous Balance: 99999.97000000007, New Balance: 99468.92000000007, Result: trade executed
ID: 171, Time: 2024-05-28 05:56:00, Type: long, Price: 530.19, Units: 1, Previous Balance: 99999.97000000007, New Balance: 99999.11000000007, Result: loss
ID: 173, Time: 2024-05-28 06:00:00, Type: long, Price: 530.25, Units: 1, Previous Balance: 99999.11000000007, New Balance: 99468.86000000007, Result: trade executed
ID: 175, Time: 2024-05-28 06:56:00, Type: long, Price: 530.09, Units: 1, Previous Balance: 99999.11000000007, New Balance: 99998.95000000007, Result: loss
ID: 177, Time: 2024-05-28 07:00:00, Type: long, Price: 530.24, Units: 1, Previous Balance: 99998.95000000007, New Balance: 99468.71000000006, Result: trade executed
ID: 179, Time: 2024-05-28 07:56:00, Type: long, Price: 530.35, Units: 1, Previous Balance: 99998.95000000007, New Balance: 99999.06000000007, Result: win
ID: 181, Time: 2024-05-28 08:00:00, Type: long, Price: 530.44, Units: 1, Previous Balance: 99999.06000000007, New Balance: 99468.62000000007, Result: trade executed
ID: 183, Time: 2024-05-28 08:56:00, Type: long, Price: 530.11, Units: 1, Previous Balance: 99999.06000000007, New Balance: 99998.73000000007, Result: loss
ID: 185, Time: 2024-05-28 09:00:00, Type: long, Price: 530.14, Units: 1, Previous Balance: 99998.73000000007, New Balance: 99468.59000000007, Result: trade executed
ID: 187, Time: 2024-05-28 09:56:00, Type: long, Price: 529.47, Units: 1, Previous Balance: 99998.73000000007, New Balance: 99998.06000000007, Result: loss
ID: 189, Time: 2024-05-28 10:00:00, Type: long, Price: 529.27, Units: 1, Previous Balance: 99998.06000000007, New Balance: 99468.79000000007, Result: trade executed
ID: 191, Time: 2024-05-28 10:56:00, Type: long, Price: 529.84, Units: 1, Previous Balance: 99998.06000000007, New Balance: 99998.63000000006, Result: win
ID: 193, Time: 2024-05-28 11:00:00, Type: long, Price: 529.93, Units: 1, Previous Balance: 99998.63000000006, New Balance: 99468.70000000007, Result: trade executed
ID: 195, Time: 2024-05-28 15:56:00, Type: long, Price: 529.75, Units: 1, Previous Balance: 99998.63000000006, New Balance: 99998.45000000007, Result: loss
