ID: 124, Time: 2024-05-24 08:56:00, Type: short, Price: 527.99, Units: 1, Previous Balance: 99996.50999999998, New Balance: 99996.66999999998, Result: win
ID: 126, Time: 2024-05-24 09:00:00, Type: short, Price: 527.6, Units: 1, Previous Balance: 99996.66999999998, New Balance: 99469.06999999998, Result: trade executed
ID: 128, Time: 2024-05-24 09:56:00, Type: short, Price: 528.25, Units: 1, Previous Balance: 99996.66999999998, New Balance: 99997.31999999998, Result: win
ID: 130, Time: 2024-05-24 10:00:00, Type: short, Price: 528.28, Units: 1, Previous Balance: 99997.31999999998, New Balance: 99469.03999999998, Result: trade executed
ID: 132, Time: 2024-05-24 10:56:00, Type: short, Price: 529.54, Units: 1, Previous Balance: 99997.31999999998, New Balance: 99998.57999999997, Result: win
ID: 134, Time: 2024-05-24 11:00:00, Type: short, Price: 529.3, Units: 1, Previous Balance: 99998.57999999997, New Balance: 99469.27999999997, Result: trade executed
ID: 136, Time: 2024-05-24 11:56:00, Type: short, Price: 529.46, Units: 1, Previous Balance: 99998.57999999997, New Balance: 99998.73999999998, Result: win
ID: 138, Time: 2024-05-24 12:00:00, Type: short, Price: 529.46, Units: 1, Previous Balance: 99998.73999999998, New Balance: 99469.27999999997, Result: trade executed
ID: 140, Time: 2024-05-24 12:56:00, Type: short, Price: 529.45, Units: 1, Previous Balance: 99998.73999999998, New Balance: 99998.72999999997, Result: loss
ID: 142, Time: 2024-05-24 13:00:00, Type: short, Price: 529.35, Units: 1, Previous Balance: 99998.72999999997, New Balance: 99469.37999999996, Result: trade executed
ID: 144, Time: 2024-05-24 13:56:00, Type: short, Price: 529.25, Units: 1, Previous Balance: 99998.72999999997, New Balance: 99998.62999999996, Result: loss
ID: 146, Time: 2024-05-24 14:00:00, Type: short, Price: 529.51, Units: 1, Previous Balance: 99998.62999999996, New Balance: 99469.11999999997, Result: trade executed
ID: 148, Time: 2024-05-24 14:56:00, Type: short, Price: 529.16, Units: 1, Previous Balance: 99998.62999999996, New Balance: 99998.27999999997, Result: loss
ID: 150, Time: 2024-05-24 15:00:00, Type: short, Price: 529.3, Units: 1, Previous Balance: 99998.27999999997, New Balance: 99468.97999999997, Result: trade executed
ID: 152, Time: 2024-05-24 15:56:00, Type: short, Price: 529.55, Units: 1, Previous Balance: 99998.27999999997, New Balance: 99998.52999999997, Result: win
ID: 154, Time: 2024-05-24 16:00:00, Type: short, Price: 529.54, Units: 1, Previous Balance: 99998.52999999997, New Balance: 99468.98999999998, Result: trade executed
ID: 156, Time: 2024-05-24 16:56:00, Type: short, Price: 529.65, Units: 1, Previous Balance: 99998.52999999997, New Balance: 99998.63999999997, Result: win
ID: 158, Time: 2024-05-24 17:00:00, Type: short, Price: 529.6, Units: 1, Previous Balance: 99998.63999999997, New Balance: 99469.03999999996, Result: trade executed
ID: 160, Time: 2024-05-27 18:58:00, Type: short, Price: 529.69, Units: 1, Previous Balance: 99998.63999999997, New Balance: 99998.72999999997, Result: win
ID: 162, Time: 2024-05-27 23:40:00, Type: short, Price: 529.65, Units: 1, Previous Balance: 99998.72999999997, New Balance: 99469.07999999997, Result: trade executed
ID: 164, Time: 2024-05-28 03:56:00, Type: short, Price: 531.14, Units: 1, Previous Balance: 99998.72999999997, New Balance: 100000.21999999997, Result: win
ID: 166, Time: 2024-05-28 04:00:00, Type: short, Price: 531.2, Units: 1, Previous Balance: 100000.21999999997, New Balance: 99469.01999999997, Result: trade executed
ID: 168, Time: 2024-05-28 04:56:00, Type: short, Price: 531.04, Units: 1, Previous Balance: 100000.21999999997, New Balance: 100000.05999999997, Result: loss
ID: 170, Time: 2024-05-28 05:00:00, Type: short, Price: 531.09, Units: 1, Previous Balance: 100000.05999999997, New Balance: 99468.96999999997, Result: trade executed
ID: 172, Time: 2024-05-28 05:56:00, Type: short, Price: 530.23, Units: 1, Previous Balance: 100000.05999999997, New Balance: 99999.19999999997, Result: loss
ID: 174, Time: 2024-05-28 06:00:00, Type: short, Price: 530.33, Units: 1, Previous Balance: 99999.19999999997, New Balance: 99468.86999999997, Result: trade executed
ID: 176, Time: 2024-05-28 06:56:00, Type: short, Price: 530.13, Units: 1, Previous Balance: 99999.19999999997, New Balance: 99998.99999999997, Result: loss
ID: 178, Time: 2024-05-28 07:00:00, Type: short, Price: 530.31, Units: 1, Previous Balance: 99998.99999999997, New Balance: 99468.68999999997, Result: trade executed
ID: 180, Time: 2024-05-28 07:56:00, Type: short, Price: 530.36, Units: 1, Previous Balance: 99998.99999999997, New Balance: 99999.04999999997, Result: win
ID: 182, Time: 2024-05-28 08:00:00, Type: short, Price: 530.48, Units: 1, Previous Balance: 99999.04999999997, New Balance: 99468.56999999998, Result: trade executed
ID: 184, Time: 2024-05-28 08:56:00, Type: short, Price: 530.12, Units: 1, Previous Balance: 99999.04999999997, New Balance: 99998.68999999997, Result: loss
ID: 186, Time: 2024-05-28 09:00:00, Type: short, Price: 530.16, Units: 1, Previous Balance: 99998.68999999997, New Balance: 99468.52999999997, Result: trade executed
ID: 188, Time: 2024-05-28 09:56:00, Type: short, Price: 529.48, Units: 1, Previous Balance: 99998.68999999997, New Balance: 99998.00999999997, Result: loss
ID: 190, Time: 2024-05-28 10:00:00, Type: short, Price: 529.29, Units: 1, Previous Balance: 99998.00999999997, New Balance: 99468.71999999997, Result: trade executed
ID: 192, Time: 2024-05-28 10:56:00, Type: short, Price: 529.85, Units: 1, Previous Balance: 99998.00999999997, New Balance: 99998.56999999998, Result: win
